Name;Altname;RA;Decl;Constellation;Type;Magnitude;SurfaceBrightness;Diameter;Position Angle;Page;ContrastReserve;OptimalMagnification;Seen;Last Seen
NGC 4656;H400 269 - UGC 7907 - Crowbar Galaxy - Hockey Stick;12h43m58s;32d10m09s;Canes Venatici;Galaxy;10.1;13.8;15.3'x2.4';33;33;-;-;XS(121/21);
NGC 4660;H400 270 - UGC 7914;12h44m32s;11d11m24s;Virgo;Galaxy;11.2;12.3;2.1'x1.7';100;45;-;-;XS(31/3);
NGC 4665;H400 271 - NGC 4624 - NGC 4664;12h45m06s;03d03m17s;Virgo;Galaxy;10.2;12.7;3.5'x3.5';;57;-;-;XS(29/4);
NGC 4666;H400 272 - UGC 7926 - Superwind-Galaxy;12h45m08s;-00d27m48s;Virgo;Galaxy;10.7;12.4;4.5'x1.4';42;57;-;-;XS(25/6);
NGC 4689;H400 273 - UGC 7965;12h47m46s;13d45m42s;Coma Berenices;Galaxy;10.7;13.6;4.7'x4.0';160;45;-;-;XS(30/4);
NGC 4697;Caldwell 52 - H400 274 - MCG -01-33-010;12h48m36s;-05d48m02s;Virgo;Galaxy;9.1;12.5;6.2'x4.5';70;57;-;-;XS(23/4);
NGC 4698;H400 275 - UGC 7970;12h48m23s;08d29m16s;Virgo;Galaxy;10.6;13.0;4.0'x2.9';170;45;-;-;XS(23/3);
NGC 4699;H400 276 - MCG -01-33-013;12h49m02s;-08d39m52s;Virgo;Galaxy;9.6;11.9;3.8'x2.8';45;69;-;-;XS(20/4);
NGC 4725;H400 277 - UGC 7989;12h50m27s;25d29m58s;Coma Berenices;Galaxy;9.2;13.6;10.4'x7.2';35;33;-;-;XS(65/11);
NGC 4753;H400 278 - UGC 8009;12h52m22s;-01d12m02s;Virgo;Galaxy;9.9;12.4;5.1'x2.6';80;57;-;-;XS(24/3);
NGC 4754;H400 279 - UGC 8010;12h52m18s;11d18m48s;Virgo;Galaxy;10.5;12.8;4.4'x2.4';23;45;-;-;XS(43/8);
NGC 4762;H400 280 - UGC 8016;12h52m56s;11d13m48s;Virgo;Galaxy;10.1;12.9;8.6'x2.0';32;45;-;-;XS(57/13);
NGC 4781;H400 281 - MCG -02-33-049;12h54m24s;-10d32m12s;Virgo;Galaxy;11.1;12.5;3.4'x1.4';120;69;-;-;XS(15/3);
NGC 4800;H400 282 - UGC 8035;12h54m38s;46d31m51s;Canes Venatici;Galaxy;11.6;12.1;1.6'x1.2';25;21;-;-;XS(27/4);
NGC 4845;H400 283 - UGC 8078 - NGC 4910;12h58m01s;01d34m30s;Virgo;Galaxy;11.2;13.0;4.9'x1.3';89;57;-;-;XS(21/3);
NGC 4856;H400 284 - MCG -02-33-078;12h59m21s;-15d02m34s;Virgo;Galaxy;10.5;12.1;3.9'x1.4';37;69;-;-;XS(17/3);
NGC 4866;H400 285 - UGC 8102;12h59m27s;14d10m15s;Virgo;Galaxy;11.0;13.2;6.4'x1.5';87;45;-;-;XS(27/4);
NGC 4900;H400 286 - UGC 8116;13h00m39s;02d30m02s;Virgo;Galaxy;11.2;12.7;2.2'x2.2';;57;-;-;XS(21/3);
NGC 4958;H400 287 - MCG -01-33-084;13h05m49s;-08d01m14s;Virgo;Galaxy;10.6;12.2;3.9'x1.4';15;69;-;-;XS(18/3);
NGC 4995;H400 288 - MCG -01-34-007;13h09m41s;-07d50m01s;Virgo;Galaxy;11.2;12.5;2.4'x1.7';92;69;-;-;XS(16/3);
NGC 5005;Caldwell 29 - H400 289 - UGC 8256;13h10m56s;37d03m29s;Canes Venatici;Galaxy;9.8;12.6;5.8'x2.9';65;21;-;-;XS(61/9);
NGC 5033;H400 290 - UGC 8307;13h13m28s;36d35m34s;Canes Venatici;Galaxy;10.0;13.6;9.8'x3.6';170;33;-;-;XS(47/5);
